"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1980,"Russ","Adams","Russ Moore",205,72,"L","R"
1987,"Ryan","Adams","Ryan Scott",185,71,"R","R"
1894,"Sparky","Adams","Earl John",151,65,"R","R"
1898,"Spencer","Adams","Spencer Dewey",158,69,"L","R"
1973,"Terry","Adams","Terry Wayne",180,75,"R","R"
1890,"Willie","Adams","James Irvin",180,76,"R","R"
1972,"Willie","Adams","William Edward",215,79,"R","R"
1971,"Joel","Adamson","Joel Lee",185,76,"L","L"
1947,"Mike","Adamson","John Michael",185,74,"R","R"
1927,"Joe","Adcock","Joseph Wilbur",210,76,"R","R"
1988,"Nathan","Adcock","Nathan Masler",235,76,"R","R"
1997,"Ty","Adcock","Tyler Nathan McKenzie",213,72,"R","R"
1925,"Bob","Addis","Robert Gordon",175,72,"L","R"
1959,"Jim","Adduci","James David",200,77,"L","L"
1985,"Jim","Adduci","Jim Charles",210,74,"L","L"
1842,"Bob","Addy","Robert Edward",160,68,"L","L"
1999,"Jo","Adell","Jordon Scott",215,75,"R","R"
1986,"Nick","Adenhart","Nicholas James",185,75,"R","R"
1915,"Morrie","Aderholt","Morris Woodrow",188,73,"L","R"
1918,"Dewey","Adkins","John Dewey",195,74,"R","R"
1920,"Dick","Adkins","Richard Earl",165,70,"R","R"
1897,"Grady","Adkins","Grady Emmett",175,71,"R","R"
1977,"Jon","Adkins","Jonathan Scott",200,72,"L","R"
1872,"Merle","Adkins","Merle Theron",220,70,"R","R"
1964,"Steve","Adkins","Steven Thomas",210,78,"R","L"
1987,"Tim","Adleman","Timothy Max",225,77,"R","R"
1943,"Dave","Adlesh","David George",187,72,"R","R"
1998,"Joan","Adon","Joan Manuel",246,74,"R","R"
1989,"Ehire","Adrianza","Ehire Enrique",198,73,"B","R"
1963,"Troy","Afenir","Michael Troy",185,76,"R","R"
1979,"Jeremy","Affeldt","Jeremy David",225,76,"L","L"
1971,"Benny","Agbayani","Benny Peter",225,72,"R","R"
1942,"Tommie","Agee","Tommie Lee",195,71,"R","R"
1929,"Harry","Agganis","Harry",200,74,"L","L"
1887,"Joe","Agler","Joseph Abram",165,71,"L","L"
1887,"Sam","Agnew","Samuel Lester",185,71,"R","R"
1958,"Juan","Agosto","Juan Roberto",190,74,"L","L"
1994,"Dario","Agrazal","Dario Abdiel",225,74,"R","R"
1959,"Luis","Aguayo","Luis",173,69,"R","R"
2001,"Julian","Aguiar","Julian",180,75,"L","R"
1979,"Chris","Aguila","Christopher Louis",200,71,"R","R"
1990,"Jesus","Aguilar","Jesus Alexander",277,75,"R","R"
1991,"Miguel","Aguilar","Miguel Armando",194,68,"L","L"
1994,"Ryan","Aguilar","Ryan Scott",168,74,"L","L"
1961,"Rick","Aguilera","Richard Warren",195,76,"R","R"
1931,"Hank","Aguirre","Henry John",205,76,"R","L"
1858,"Bill","Ahearn","William H.",NA,NA,NA,NA
1969,"Pat","Ahearne","Patrick Howard",195,75,"R","R"
1990,"Nick","Ahmed","Nicholas Mark",201,74,"R","R"
1954,"Willie","Aikens","Willie Mays",220,75,"L","R"
1959,"Danny","Ainge","Daniel Ray",175,76,"R","R"
1890,"Eddie","Ainsmith","Edward Wilbur",180,71,"R","R"
1978,"Kurt","Ainsworth","Kurt Harold",192,75,"R","R"
1887,"Raleigh","Aitchison","Raleigh Leonidas",175,71,"R","L"
1890,"George","Aiton","George Wilson",175,71,"B","R"
1861,"John","Ake","John Leckie",180,73,"R","R"
1940,"Jack","Aker","Jackie Delane",190,74,"R","R"
1962,"Darrel","Akerfelds","Darrel Wayne",210,74,"R","R"
1904,"Bill","Akers","William G.",178,71,"R","R"
1887,"Jerry","Akers","Albert Earl",175,71,"R","R"
1995,"Keegan","Akin","Keegan Lee",235,71,"L","L"
1988,"Shogo","Akiyama","Shogo",182,72,"L","R"
1991,"R. J.","Alaniz","Ruben",220,76,"R","R"
1960,"Gibson","Alba","Gibson Alberto",160,74,"L","L"
1982,"Jonathan","Albaladejo","Jonathan",270,77,"R","R"
1933,"Joe","Albanese","Joseph Peter",215,75,"R","R"
1969,"Jose","Alberro","Jose Edgardo",190,74,"R","R"
1985,"Andrew","Albers","Andrew William",200,73,"R","L"
1983,"Matt","Albers","Matthew James",225,73,"L","R"
1992,"Hanser","Alberto","Hanser Joel",215,71,"R","R"
1950,"Butch","Alberts","Francis Burt",205,74,"R","R"
1882,"Cy","Alberts","Frederick Joseph",230,72,"R","R"
1860,"Gus","Alberts","Augustus Peter",180,66,"R","R"
1997,"Ozzie","Albies","Ozhaino Jurdy Jiandro",165,68,"B","R"
1918,"Ed","Albosta","Edward John",175,73,"R","R"
1929,"Ed","Albrecht","Edward Arthur",165,70,"R","R"
1921,"Jack","Albright","Harold John",175,69,"R","R"
1986,"Al","Alburquerque","Alberto Jose",195,72,"R","R"
1947,"Vic","Albury","Victor",190,72,"L","L"
1995,"Jorge","Alcala","Jorge Luis",205,75,"R","R"
1952,"Santo","Alcala","Santo",195,77,"R","R"
1991,"Arismendy","Alcantara","Arismendy",170,70,"B","R"
1973,"Israel","Alcantara","Israel",180,74,"R","R"
1992,"Raul","Alcantara","Raul",220,76,"R","R"
1995,"Sandy","Alcantara","Sandy",200,77,"R","R"
1996,"Sergio","Alcantara","Sergio Junior",151,69,"B","R"
1993,"Victor","Alcantara","Victor Alfonso",190,74,"R","R"
2002,"Kevin","Alcántara","Kevin",188,78,"R","R"
1941,"Luis","Alcaraz","Angel Luis",165,69,"R","R"
1885,"Scotty","Alcock","John Forbes",160,69,"R","R"
2001,"Sam","Aldegheri","Samuel",210,73,"L","L"
1918,"Dale","Alderson","Dale Leonard",190,70,"R","R"
1968,"Scott","Aldred","Scott Phillip",195,76,"L","L"
1961,"Mike","Aldrete","Michael Peter",180,71,"L","L"
1961,"Jay","Aldrich","Jay Robert",210,75,"R","R"
1979,"Cory","Aldridge","Cory Jerome",210,72,"L","R"
1893,"Vic","Aldridge","Victor",175,69,"R","R"
1917,"Chuck","Aleno","Charles",215,73,"R","R"
1999,"Blaze","Alexander","Blaze Chanee",160,72,"R","R"
1922,"Bob","Alexander","Robert Somerville",205,74,"R","R"
1996,"CJ","Alexander","Charles Joseph Wesley",215,76,"L","R"
1903,"Dale","Alexander","David Dale",210,75,"R","R"
1950,"Doyle","Alexander","Doyle Lafayette",190,75,"R","R"
1953,"Gary","Alexander","Gary Wayne",195,74,"R","R"
1968,"Gerald","Alexander","Gerald Paul",190,71,"R","R"
1917,"Hugh","Alexander","Hugh",190,72,"R","R"
1993,"Jason","Alexander","Jason Raymond",200,75,"R","R"
1971,"Manny","Alexander","Manuel de Jesus",150,70,"R","R"
1947,"Matt","Alexander","Matthew",168,71,"B","R"
1858,"Nin","Alexander","William Henry",163,64,"R","R"
1887,"Pete","Alexander","Grover Cleveland",185,73,"R","R"
1989,"Scott","Alexander","Scott Alain",195,74,"L","L"
1994,"Tyler","Alexander","Tyler John",203,74,"R","L"
1891,"Walt","Alexander","Walter Ernest",165,70,"R","R"
1998,"A. J.","Alexy","Adam John",195,76,"R","R"
1977,"Jason","Alfaro","Jason",185,70,"R","R"
1993,"Jorge","Alfaro","Jorge Mario",230,75,"R","R"
1972,"Antonio","Alfonseca","Antonio",250,77,"R","R"
1973,"Edgardo","Alfonzo","Edgardo Antonio",210,71,"R","R"
1979,"Eliezer","Alfonzo","Eliezer Jesus",220,71,"R","R"
1994,"Anthony","Alford","Anthony Joseph",215,73,"R","R"
1965,"Luis","Alicea","Luis Rene",165,69,"B","R"
1961,"Andy","Allanson","Andrew Neal",220,77,"R","R"
1958,"Brian","Allard","Brian Marshall",185,73,"R","R"
1997,"Kolby","Allard","Kolby Kenneth",195,73,"L","L"
1996,"Cam","Alldred","Cameron Mitchell",205,75,"L","L"
1994,"Austin","Allen","Austin Michael",219,74,"L","R"
1939,"Bernie","Allen","Bernard Keith",175,72,"L","R"
1894,"Bob","Allen","Robert",180,70,"R","R"
1867,"Bob","Allen","Robert Gilman",175,71,"R","R"
1937,"Bob","Allen","Robert Gray",175,74,"L","L"
1986,"Brandon","Allen","Brandon Durell",230,74,"L","R"
1975,"Chad","Allen","John Chad",195,73,"R","R"
1988,"Cody","Allen","Cody Edward",210,73,"R","R"
1942,"Dick","Allen","Richard Anthony",187,71,"R","R"
1972,"Dusty","Allen","Dustin R.",215,76,"R","R"
1914,"Earl","Allen","Robert Earl",165,73,"R","R"
1904,"Ethan","Allen","Ethan Nathan",180,73,"R","R"
1888,"Frank","Allen","Frank Leon",175,69,"R","L"
1993,"Greg","Allen","Gregory Lomack",185,72,"B","R"
1846,"Ham","Allen","Frank Erwin",NA,64,NA,NA
1940,"Hank","Allen","Harold Andrew",190,72,"R","R"
1863,"Hezekiah","Allen","Hezekiah",160,71,NA,NA
1899,"Horace","Allen","Horace Tanner",187,72,"L","R"
1855,"Jack","Allen","Cyrus Alban",160,NA,"R","R"
1958,"Jamie","Allen","James Bradley",205,72,"R","R"
1890,"John","Allen","John Marshall",170,73,"R","R"
1904,"Johnny","Allen","John Thomas",180,72,"R","R"
1953,"Kim","Allen","Kim Bryant",175,71,"R","R"
1950,"Lloyd","Allen","Lloyd Cecil",185,73,"R","R"
1997,"Logan","Allen","Logan Shane",200,75,"R","L"
1998,"Logan","Allen","Logan Taylor",190,72,"R","L"
1978,"Luke","Allen","Lucas Gale",208,74,"L","R"
1854,"Myron","Allen","Myron Smith",150,68,"R","R"
1958,"Neil","Allen","Neil Patrick",185,75,"R","R"
1901,"Newt","Allen","Newton Henry",160,68,"R","R"
1888,"Nick","Allen","Artemus Ward",180,72,"R","R"
1998,"Nick","Allen","Nicholas Ryan",166,68,"R","R"
1868,"Pete","Allen","Jesse Hall",185,68,"R","R"
1959,"Rod","Allen","Roderick Bernet",185,73,"R","R"
1943,"Ron","Allen","Ronald Frederick",205,75,"B","R"
1886,"Sled","Allen","Fletcher Manson",180,73,"R","R"
1955,"Gary","Allenson","Gary Martin",185,71,"R","R"
1972,"Jermaine","Allensworth","Jermaine LaMont",178,72,"R","R"
1940,"Gene","Alley","Leonard Eugene",160,70,"R","R"
1996,"Nick","Allgeyer","Nicholas Joseph",225,75,"L","L"
1931,"Gair","Allie","Gair Roosevelt",190,73,"R","R"
1952,"Bob","Allietta","Robert George",190,72,"R","R"
1848,"Andy","Allison","Andrew Kent",150,70,NA,NA
1849,"Art","Allison","Arthur Algernon",150,68,NA,NA
1850,"Bill","Allison","William",NA,NA,NA,NA
1934,"Bob","Allison","William Robert",205,75,"R","R"
1966,"Dana","Allison","Dana Eric",215,75,"R","L"
1846,"Doug","Allison","Douglas L.",160,70,"R","R"
1887,"Mack","Allison","Mack Pendleton",185,73,"R","R"
1890,"Milo","Allison","Milo Henry",163,72,"L","R"
1965,"Beau","Allred","Dale LeBeau",190,72,"L","L"
1913,"Mel","Almada","Baldomero Melo",170,72,"L","L"
1972,"Armando","Almanza","Armando",205,75,"L","L"
1973,"Carlos","Almanzar","Carlos Manuel",166,74,"R","R"
1887,"Rafael","Almeida","Rafael D.",164,69,"R","R"
1952,"Bill","Almon","William Francis",180,75,"R","R"
1989,"Abraham","Almonte","Abraham",223,70,"B","R"
1976,"Edwin","Almonte","Edwin",200,75,"R","R"
1978,"Erick","Almonte","Erick R.",245,74,"R","R"
1975,"Hector","Almonte","Hector Radhames",190,74,"R","R"
1993,"Miguel","Almonte","Miguel Emilio",210,73,"R","R"
1994,"Yency","Almonte","Yency",223,77,"R","R"
1989,"Zoilo","Almonte","Zoilo Manuel",205,72,"B","R"
1994,"Albert","Almora","Reinaldo Albert",190,74,"R","R"
1923,"Luis","Aloma","Luis",195,74,"R","R"
1968,"Roberto","Alomar","Roberto",184,72,"B","R"
