"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1904,"Fred","Frankhouse","Frederick Meloy",175,71,"R","R"
NA,NA,"Franklin","Franklin",NA,NA,NA,NA
1919,"Jack","Franklin","Jack Wilford",170,71,"R","R"
1953,"Jay","Franklin","John William",180,74,"R","R"
1972,"Micah","Franklin","Micah Ishanti",205,72,"B","R"
1914,"Moe","Franklin","Murray Asher",175,72,"R","R"
1991,"Nick","Franklin","Nicholas Edward",190,73,"B","R"
1973,"Ryan","Franklin","Ryan Ray",190,75,"R","R"
1974,"Wayne","Franklin","Gary Wayne",195,74,"L","L"
1988,"Seth","Frankoff","James Seth",206,77,"R","R"
1914,"Herman","Franks","Herman Louis",187,70,"L","R"
1993,"Caleb","Frare","Caleb Michael",225,72,"L","L"
1970,"John","Frascatore","John Vincent",200,73,"R","R"
1873,"Chick","Fraser","Charles Carrolton",188,70,"R","R"
1964,"Willie","Fraser","William Patrick",200,73,"R","R"
1977,"Jason","Frasor","Jason Andrew",180,69,"R","R"
1861,"George","Frazer","George Kasson",NA,NA,NA,NA
1991,"Adam","Frazier","Adam Timothy",181,70,"L","R"
1954,"George","Frazier","George Allen",205,77,"R","R"
1861,"George","Frazier","George Kasson",NA,NA,NA,NA
1994,"Jackson","Frazier","Clint Jackson",212,71,"R","R"
1982,"Jeff","Frazier","Jeffrey Michael",195,75,"R","R"
1922,"Joe","Frazier","Joseph Filmore",180,72,"L","R"
1965,"Lou","Frazier","Arthur Louis",175,74,"B","R"
1986,"Todd","Frazier","Todd Brian",215,75,"R","R"
1904,"Vic","Frazier","Victor Patrick",182,72,"R","R"
1902,"Johnny","Frederick","John Henry",165,71,"L","L"
1976,"Kevin","Frederick","Kevin Albert Francis",215,73,"L","R"
1967,"Scott","Fredrickson","Scott Eric",220,75,"R","R"
1919,"Ed","Freed","Edwin Charles",165,66,"R","R"
1946,"Roger","Freed","Roger Vernon",190,72,"R","R"
1941,"Bill","Freehan","William Ashley",203,75,"R","R"
1976,"Ryan","Freel","Ryan Paul",185,70,"R","R"
1993,"Kyle","Freeland","Kyle Richard",204,76,"L","L"
1896,"Buck","Freeman","Alexander Vernon",167,70,"B","R"
1871,"Buck","Freeman","John Frank",169,69,"L","L"
1979,"Choo","Freeman","Raphael",200,74,"R","R"
1989,"Freddie","Freeman","Frederick Charles",220,77,"L","R"
1897,"Harvey","Freeman","Harvey Bayard",160,70,"R","R"
1928,"Hersh","Freeman","Hershell Baskin",220,75,"R","R"
1879,"Jerry","Freeman","Frank Ellsworth",220,74,"L","R"
1951,"Jimmy","Freeman","Jimmy Lee",180,76,"L","L"
1901,"John","Freeman","John Edward",160,68,"R","R"
1868,"Julie","Freeman","Julius Benjamin",NA,NA,"R","R"
1986,"Justin","Freeman","Justin Michael",175,71,"R","R"
1963,"LaVel","Freeman","LaVel Maurice",170,69,"L","L"
1930,"Mark","Freeman","Mark Price",220,76,"R","R"
1963,"Marvin","Freeman","Marvin",200,79,"R","R"
1987,"Mike","Freeman","Michael Barrett",195,72,"L","R"
1987,"Sam","Freeman","Samuel Douglas",180,71,"R","L"
1999,"Tyler","Freeman","Tyler Andrew",190,72,"R","R"
1983,"David","Freese","David Richard",213,74,"R","R"
1934,"Gene","Freese","Eugene Lewis",175,71,"R","R"
1926,"George","Freese","George Walter",190,72,"R","R"
1900,"Jake","Freeze","Carl Alexander",150,68,"R","R"
1942,"Jim","Fregosi","James Louis",190,73,"R","R"
1923,"Vern","Freiburger","Vern Donald",170,73,"R","L"
1902,"Howard","Freigau","Howard Earl",160,70,"R","R"
1986,"Nate","Freiman","Nathan Samuel",245,80,"R","R"
1974,"Alejandro","Freire","Alejandro",225,74,"R","R"
1951,"Dave","Freisleben","David James",195,71,"R","R"
1989,"David","Freitas","David Joseph",250,74,"R","R"
1908,"Tony","Freitas","Antonio",161,68,"R","L"
2000,"Sal","Frelick","Salvatore Michael",182,70,"L","R"
1849,"Bill","French","William Henry",NA,NA,NA,NA
1883,"Charlie","French","Charles Calvin",140,66,"L","R"
1941,"Jim","French","Richard James",180,68,"L","R"
1907,"Larry","French","Lawrence Herbert",195,73,"R","L"
1985,"Luke","French","Lucas Stephen",220,76,"L","L"
1893,"Pat","French","Frank Alexander",180,73,"R","R"
1895,"Ray","French","Raymond Edward",158,69,"R","R"
1899,"Walt","French","Walter Edward",155,67,"L","R"
1875,"Frank","Freund","Lawrence Joseph",180,70,NA,"R"
1906,"Benny","Frey","Benjamin Rudolph",165,70,"R","R"
1931,"Jim","Frey","James Gottfried",170,69,"L","L"
1910,"Lonny","Frey","Linus Reinhard",160,70,"L","R"
1963,"Steve","Frey","Steven Francis",170,69,"R","L"
1989,"Carlos","Frias","Carlos David",195,76,"R","R"
1973,"Hanley","Frias","Hanley",160,72,"B","R"
1998,"Luis","Frias","Luis David",245,75,"R","R"
1948,"Pepe","Frias","Jesus Maria",159,70,"R","R"
1899,"Bernie","Friberg","Bernard Albert",178,71,"R","R"
1923,"Marion","Fricano","Marion John",170,72,"R","R"
1894,"Ford","Frick","Ford Christopher",NA,NA,NA,NA
1897,"Grier","Friday","Grier William",170,71,"R","R"
1924,"Jim","Fridley","James Riley",205,74,"R","R"
1897,"Cy","Fried","Arthur Edwin",150,71,"L","L"
1994,"Max","Fried","Max Dorian",190,76,"L","L"
1995,"TJ","Friedl","Terry Lee",180,70,"L","L"
1987,"Christian","Friedrich","Christian Louis Patrick",222,76,"R","L"
1906,"Bob","Friedrichs","Robert George",165,71,"R","R"
1876,"Bill","Friel","William Edward",165,70,"L","R"
1858,"Pat","Friel","Patrick Henry",170,71,"B",NA
1930,"Bob","Friend","Robert Bartmess",190,72,"R","R"
1873,"Danny","Friend","Daniel Sebastian",175,69,"L","L"
1927,"Owen","Friend","Owen Lacey",180,73,"R","R"
1985,"Ernesto","Frieri","Ernesto",205,72,"R","R"
1917,"Buck","Frierson","Robert Lawrence",195,75,"R","R"
1857,"Pete","Fries","Peter Martin",160,68,"L","L"
1879,"John","Frill","John Edmond",170,70,"R","L"
1911,"Fred","Frink","Frederick Ferdinand",180,73,"R","R"
1874,"Charlie","Frisbee","Charles Augustus",175,69,"B","R"
1897,"Frankie","Frisch","Frank Francis",165,71,"B","R"
1946,"Danny","Frisella","Daniel Vincent",185,72,"L","R"
1874,"Emil","Frisk","John Emil",190,73,"L","R"
1882,"Charlie","Fritz","Charles Cornelius",NA,NA,NA,"L"
1890,"Harry","Fritz","Harry Koch",170,68,"R","R"
1949,"Larry","Fritz","Laurence Joseph",225,74,"L","L"
1930,"Bill","Froats","William John",180,72,"L","L"
1959,"Doug","Frobel","Douglas Steven",196,76,"L","R"
1882,"Sam","Frock","Samuel William",168,72,"R","R"
1885,"Al","Froehlich","Albert George",NA,NA,"R","R"
1962,"Todd","Frohwirth","Todd Gerard",190,76,"R","R"
1883,"Art","Fromme","Arthur Henry",178,72,"R","R"
1952,"Dave","Frost","Carl David",235,78,"R","R"
1984,"Emiliano","Fruto","Emiliano Ricardo",230,75,"R","R"
1995,"David","Fry","David James",215,72,"R","R"
1993,"Jace","Fry","Jace Hayden",209,73,"L","L"
1956,"Jerry","Fry","Jerry Ray",185,72,"R","R"
1901,"Johnson","Fry","Johnson",150,73,"R","R"
1992,"Paul","Fry","Paul Raymond",205,72,"L","L"
1913,"Charlie","Frye","Charlie Andrew",175,73,"R","R"
1966,"Jeff","Frye","Jeffrey Dustin",180,69,"R","R"
1985,"Eric","Fryer","Eric Joseph",215,74,"R","R"
1969,"Travis","Fryman","David Travis",180,73,"R","R"
1940,"Woodie","Fryman","Woodrow Thompson",197,75,"R","L"
1913,"Charlie","Fuchs","Charles Thomas",168,68,"B","R"
1878,"Judge","Fuchs","Emil Edwin",NA,NA,NA,NA
1975,"Brian","Fuentes","Brian Christopher",230,76,"L","L"
1993,"Joshua","Fuentes","Joshua",209,74,"R","R"
1946,"Miguel","Fuentes","Miguel",160,72,"R","R"
1958,"Mike","Fuentes","Michael Jay",190,75,"R","R"
1991,"Rey","Fuentes","Reymond Louis",160,72,"L","L"
1944,"Tito","Fuentes","Rigoberto",175,71,"B","R"
1893,"Oscar","Fuhr","Oscar Lawrence",176,72,"L","L"
1896,"Ollie","Fuhrman","Alfred George",185,71,"B","R"
1980,"Kyuji","Fujikawa","Kyuji",190,72,"L","R"
1994,"Shintaro","Fujinami","Shintaro",180,78,"R","R"
1977,"Kosuke","Fukudome","Kosuke",200,72,"L","R"
1976,"Kazuo","Fukumori","Kazuo",175,72,"R","R"
1979,"Jeff","Fulchino","Jeffrey Joseph",270,76,"R","R"
1981,"Sam","Fuld","Samuel Babson",180,69,"L","L"
1956,"John","Fulgham","John Thomas",205,74,"R","R"
1900,"Dot","Fulghum","James Lavoisier",165,68,"R","R"
1878,"Charles","Fuller","Charles F.",165,71,"R","R"
1869,"Ed","Fuller","Edward Aston White",158,72,"R","R"
1894,"Frank","Fuller","Frank Edward",150,67,"B","R"
1862,"Harry","Fuller","Henry W.",160,68,NA,NA
1950,"Jim","Fuller","James Hardy",215,75,"R","R"
1950,"John","Fuller","John Edward",180,74,"L","L"
1867,"Shorty","Fuller","William Benjamin",157,66,"R","R"
1944,"Vern","Fuller","Vernon Gordon",170,73,"R","R"
1898,"Curt","Fullerton","Curtis Hooper",162,72,"L","R"
1901,"Chick","Fullis","Charles Philip",170,69,"R","R"
1975,"Brad","Fullmer","Bradley Ryan",185,73,"L","R"
1993,"Carson","Fulmer","Carson Springer",210,72,"R","R"
1851,"Charles","Fulmer","Charles John",158,72,"R","R"
1858,"Chris","Fulmer","Christopher",165,68,"R","R"
1993,"Michael","Fulmer","Michael Joseph",224,75,"R","R"
1840,"Washington","Fulmer","Washington Fayette",180,69,NA,NA
1963,"Bill","Fulton","William David",195,75,"R","R"
1973,"Aaron","Fultz","Richard Aaron",196,72,"L","L"
1875,"Dave","Fultz","David Lewis",170,71,"R","R"
1996,"Kody","Funderburk","Kody",230,76,"L","L"
1957,"Mark","Funderburk","Mark Clifford",226,76,"R","R"
1935,"Frank","Funk","Franklin Ray",175,72,"R","R"
1904,"Liz","Funk","Elias Calvin",160,68,"L","L"
1962,"Tom","Funk","Thomas James",210,74,"L","L"
1994,"Kyle","Funkhouser","Kyle James",229,75,"R","R"
1986,"Charlie","Furbush","Charles Roderick",215,77,"L","L"
1977,"Rafael","Furcal","Rafael",195,68,"B","R"
1922,"Carl","Furillo","Carl Anthony",190,72,"R","R"
1979,"J. J.","Furmaniak","Jason Joseph",190,72,"R","R"
1856,"Eddie","Fusselback","Edward L.",156,66,"R",NA
1976,"Chris","Fussell","Christopher Wren",185,74,"R","R"
1895,"Fred","Fussell","Frederick Morris",155,70,"L","L"
1921,"Les","Fusselman","Lester Leroy",195,73,"R","R"
1969,"Mike","Fyhrie","Michael Edwin",190,74,"R","R"
1982,"Kason","Gabbard","Kason Ronald",200,75,"L","L"
1983,"Armando","Gabino","Armando Leisdeker",210,75,"R","R"
1911,"Frank","Gabler","Frank Harold",175,73,"R","R"
1930,"Gabe","Gabler","William Louis",190,73,"L","R"
1930,"John","Gabler","John Richard",165,74,"B","R"
1919,"Ken","Gables","Kenneth Harlin",210,71,"R","R"
1940,"Len","Gabrielson","Leonard Gary",210,76,"L","R"
1915,"Len","Gabrielson","Leonard Hilbourne",210,75,"L","L"
1998,"Hunter","Gaddis","Hunter Reid",260,78,"R","R"
1914,"John","Gaddy","John Wilson",182,72,"R","R"
1925,"Eddie","Gaedel","Edward Carl",65,43,"R","L"
1958,"Gary","Gaetti","Gary Joseph",180,72,"R","R"
1958,"Brent","Gaff","Brent Allen",200,74,"R","R"
1913,"Fabian","Gaffke","Fabian Sebastian",185,70,"R","R"
1855,"John","Gaffney","John H.",NA,NA,NA,NA
1993,"Matt","Gage","Matthew Robert",265,75,"L","L"
1941,"Phil","Gagliano","Philip Joseph",180,73,"R","R"
1946,"Ralph","Gagliano","Ralph Michael",170,71,"L","R"
1976,"Eric","Gagne","Eric Serge",195,74,"R","R"
1961,"Greg","Gagne","Gregory Carpenter",185,71,"R","R"
1883,"Ed","Gagnier","John Edward",170,69,"R","R"
1897,"Chick","Gagnon","Harold Dennis",158,67,"R","R"
1990,"Drew","Gagnon","Andrew Miles",215,76,"R","R"
1970,"Eddie","Gaillard","Julian Edward",180,73,"R","R"
1886,"Del","Gainer","Dellas Clinton",180,72,"R","R"
1966,"Jay","Gainer","Johnathan Keith",190,72,"L","L"
1936,"Joe","Gaines","Arnesta Joe",190,73,"R","R"
1897,"Nemo","Gaines","Willard Roland",180,72,"L","L"
1960,"Ty","Gainey","Telmanch",190,73,"L","R"
1885,"Fred","Gaiser","Frederick Jacob",175,68,"R","R"
1969,"Steve","Gajkowski","Stephen Robert",200,74,"R","R"
1964,"Dan","Gakeler","Daniel Michael",215,78,"R","R"
1912,"Augie","Galan","August John",175,72,"B","R"
1944,"Matt","Galante","Matthew Joseph",157,66,"R","R"
1961,"Andres","Galarraga","Andres Jose",235,75,"R","R"
1982,"Armando","Galarraga","Armando Antonio",230,75,"R","R"
1952,"Bob","Galasso","Robert Joseph",205,73,"L","R"
1907,"Milt","Galatzer","Milton",168,70,"L","L"
1897,"John W.","Galbreath","John Wilmer",NA,NA,NA,NA
1954,"Rich","Gale","Richard Blackwell",225,79,"R","R"
1988,"Rocky","Gale","Rocky Michael",185,73,"R","R"
1911,"Denny","Galehouse","Dennis Ward",195,73,"R","R"
1978,"John","Gall","John Christopher",195,72,"R","R"
1945,"Al","Gallagher","Alan Mitchell Edward George Patrick Henry",180,72,"R","R"
1865,"Bill","Gallagher","William J.",NA,NA,NA,"L"
1947,"Bob","Gallagher","Robert Collins",185,75,"L","L"
1992,"Cam","Gallagher","Cameron Joseph",230,75,"R","R"
1960,"Dave","Gallagher","David Thomas",180,72,"R","R"
1940,"Doug","Gallagher","Douglas Eugene",195,75,"R","L"
1910,"Ed","Gallagher","Edward Michael",197,74,"B","L"
1896,"Gil","Gallagher","Lawrence Kirby",155,68,"B","R"
1902,"Jackie","Gallagher","John Laurence",175,70,"L","R"
1914,"Joe","Gallagher","Joseph Emmett",210,74,"R","R"
1892,"John","Gallagher","John Carroll",156,70,"R","R"
1985,"Sean","Gallagher","Sean Patrick",220,74,"R","R"
1872,"Shorty","Gallagher","Charles William",NA,NA,NA,NA
1874,"William","Gallagher","William Howard",NA,NA,NA,NA
1986,"Yovani","Gallardo","Yovani",205,74,"R","R"
1919,"Stan","Galle","Stanley Joseph",165,67,"R","R"
1960,"Mike","Gallego","Michael Anthony",160,68,"R","R"
1991,"Giovanny","Gallegos","Giovanny",215,74,"R","R"
1995,"Zac","Gallen","Zachary Peter",189,74,"R","R"
1891,"Bert","Gallia","Melvin Allys",165,72,"R","R"
1861,"John","Galligan","John T.",160,70,NA,NA
1860,"Pete","Galligan","Peter F.",NA,NA,NA,NA
1907,"Phil","Gallivan","Philip Joseph",170,72,"R","R"
1993,"Joey","Gallo","Joseph Nicholas",250,77,"L","R"
1977,"Mike","Gallo","Michael Dwain",170,72,"L","L"
1896,"Chick","Galloway","Clarence Edward",160,68,"R","R"
1989,"Isaac","Galloway","Isaac",205,74,"R","R"
1887,"Jim","Galloway","James Cato",187,75,"B","R"
1964,"Balvino","Galvez","Balvino",170,72,"R","R"
1907,"Jim","Galvin","James Joseph",180,71,"R","R"
1842,"John","Galvin","John A.",178,67,NA,NA
1863,"Lou","Galvin","James Louis",NA,NA,NA,NA
1856,"Pud","Galvin","James Francis",190,68,"R","R"
1989,"Freddy","Galvis","Freddy Jose",190,70,"B","R"
1866,"Bob","Gamble","Robert",155,70,"R","R"
1948,"John","Gamble","John Robert",165,70,"R","R"
1910,"Lee","Gamble","Lee Jesse",170,73,"L","R"
1949,"Oscar","Gamble","Oscar Charles",160,71,"L","R"
1984,"Eddie","Gamboa","Eduardo Avila",215,73,"R","R"
1992,"Ben","Gamel","Benjamin Joseph",180,71,"L","L"
1985,"Mat","Gamel","Mathew Lawrence",220,73,"L","R"
1876,"Daff","Gammons","John Ashley",170,71,"R","R"
1971,"Gus","Gandarillas","Gustavo",190,72,"R","R"
1888,"Chick","Gandil","Arnold",190,73,"R","R"
1893,"Bob","Gandy","Robert Brinkley",180,75,"L","R"
1875,"Bob","Ganley","Robert Stephen",156,67,"L","L"
1873,"Bill","Gannon","William Patrick",170,69,NA,NA
1873,"Gussie","Gannon","James Edward",154,71,"L","L"
1877,"Joe","Gannon","Michael Joseph",160,NA,NA,NA
1992,"John","Gant","John Michael",200,76,"R","R"
1965,"Ron","Gant","Ronald Edwin",172,72,"R","R"
1915,"Joe","Gantenbein","Joseph Steven",168,69,"L","R"
1953,"Jim","Gantner","James Elmer",180,72,"L","R"
1901,"Babe","Ganzel","Foster Pirie",172,70,"R","R"
1862,"Charlie","Ganzel","Charles William",161,72,"R","R"
1874,"John","Ganzel","John Henry",195,72,"R","R"
1976,"Eddy","Garabito","Eddy Jorge",186,68,"B","R"
1995,"Gerson","Garabito","Gerson Yeris",160,72,"R","R"
1926,"Joe","Garagiola","Joseph Henry",190,72,"L","R"
1969,"Keith","Garagozzo","Keith John",170,72,"L","L"
1984,"Victor","Garate","Victor Jose",210,73,"L","L"
1909,"Bob","Garbark","Robert Michael",178,71,"R","R"
1916,"Mike","Garbark","Nathaniel Michael",200,72,"R","R"
1928,"Bob","Garber","Robert Mitchell",190,73,"R","R"
1947,"Gene","Garber","Henry Eugene",175,70,"R","R"
1956,"Barbaro","Garbey","Barbaro",170,70,"R","R"
1922,"Alex","Garbowski","Alexander",185,73,"R","R"
1990,"Frank","Garces","Frank Yeury",175,71,"L","L"
1971,"Rich","Garces","Richard Aron",250,72,"R","R"
1993,"Adolis","Garcia","Jose Adolis",205,73,"R","R"
1985,"Adonis","Garcia","Adonis",205,69,"R","R"
1975,"Amaury","Garcia","Amaury Miguel",160,70,"R","R"
1981,"Anderson","Garcia","Anderson",180,74,"R","R"
1993,"Aramis","Garcia","Aramis Michael",228,73,"R","R"
1991,"Avisail","Garcia","Avisail Antonio",250,76,"R","R"
1995,"Bryan","Garcia","Bryan",205,73,"R","R"
1967,"Carlos","Garcia","Carlos Jesus",185,73,"R","R"
1924,"Chico","Garcia","Vinicio Otilio",170,68,"R","R"
1985,"Christian","Garcia","Christian J.",230,77,"R","R"
1957,"Damaso","Garcia","Damaso Domingo",165,73,"R","R"
1980,"Daniel","Garcia","Daniel Joseph",180,72,"R","R"
1954,"Danny","Garcia","Daniel Raphael",182,73,"L","L"
1920,"Dave","Garcia","David",185,72,"R",NA
1999,"Deivi","Garcia","Deivi Anderson",163,69,"R","R"
1998,"Dermis","Garcia","Dermis",200,75,"R","R"
1996,"Edgar","Garcia","Edgar Ernesto",205,73,"R","R"
1972,"Freddy","Garcia","Freddy Adrian",190,74,"R","R"
1976,"Freddy","Garcia","Freddy Antonio",250,76,"R","R"
1989,"Greg","Garcia","Greg Joseph",200,72,"L","R"
1972,"Guillermo","Garcia","Guillermo Antonio",215,75,"R","R"
1984,"Harvey","Garcia","Harvey Anderson",170,74,"R","R"
1986,"Jaime","Garcia","Jaime Omar",215,74,"L","L"
1993,"Jarlin","Garcia","Jarlin Emmanuel",210,75,"L","L"
1992,"Jason","Garcia","Jason Emilio",185,72,"R","R"
1973,"Jesse","Garcia","Jesus Jesse",155,70,"R","R"
1985,"Jose","Garcia","Jose Luis",165,71,"R","R"
1975,"Karim","Garcia","Gustavo Karim",210,72,"L","L"
1953,"Kiko","Garcia","Alfonso Rafael",180,71,"R","R"
1962,"Leo","Garcia","Leonardo Antonio",160,68,"L","L"
1991,"Leury","Garcia","Leury",190,68,"B","R"
1987,"Luis","Garcia","Luis Amado",240,74,"R","R"
1975,"Luis","Garcia","Luis Carlos",215,75,"R","R"
1996,"Luis","Garcia","Luis Heibardo",244,73,"R","R"
1975,"Luis","Garcia","Luis Rafael",175,72,"R","R"
2000,"Luis","Garcia","Luis Victoriano",212,74,"L","R"
2000,"Maikel","Garcia","Maikel Jose",145,72,"R","R"
1967,"Miguel","Garcia","Miguel Angel",173,71,"L","L"
1923,"Mike","Garcia","Edward Miguel",195,73,"R","R"
1968,"Mike","Garcia","Michael R.",220,74,"R","R"
1989,"Onelki","Garcia","Onelki",225,75,"L","L"
1950,"Pedro","Garcia","Pedro Modesto",175,70,"R","R"
1948,"Ralph","Garcia","Ralph",195,72,"R","R"
1924,"Ramon","Garcia","Ramon",170,70,"R","R"
1969,"Ramon","Garcia","Ramon Antonio",200,74,"R","R"
1974,"Reynaldo","Garcia","Reynaldo",170,75,"R","R"
1994,"Rico","Garcia","Joshua Rico",201,69,"R","R"
1993,"Robel","Garcia","Robel Estiwal",195,72,"B","R"
1996,"Robert","Garcia","Robert Christopher",225,76,"R","L"
1997,"Rony","Garcia","Rony Javier",200,75,"R","R"
1979,"Rosman","Garcia","Rosman Jose",215,74,"R","R"
1992,"Willy","Garcia","Willy Camilo",215,74,"R","R"
1990,"Yimi","Garcia","Yimi",230,73,"R","R"
1973,"Nomar","Garciaparra","Anthony Nomar",165,72,"R","R"
1918,"Al","Gardella","Alfred Stephen",172,70,"L","L"
1920,"Danny","Gardella","Daniel Lewis",160,67,"L","L"
1957,"Ron","Gardenhire","Ronald Clyde",175,72,"R","R"
1993,"Nick","Gardewine","Nick",179,73,"R","R"
1899,"Art","Gardiner","Arthur Cecil",NA,NA,"R","R"
1965,"Mike","Gardiner","Michael James",185,72,"B","R"
1861,"Alex","Gardner","Alexander",NA,NA,"R",NA
1952,"Art","Gardner","Arthur Junior",175,71,"L","L"
1866,"Bill","Gardner","William A.",NA,NA,NA,NA
1927,"Billy","Gardner","William Frederick",170,72,"R","R"
1983,"Brett","Gardner","Brett Michael",195,71,"L","L"
1969,"Chris","Gardner","Christopher John",175,72,"R","R"
1884,"Earle","Gardner","Earle McClurkin",160,71,"R","R"
1859,"Gid","Gardner","Franklin Washington",165,NA,"R","R"
1916,"Glenn","Gardner","Miles Glenn",180,71,"R","R"
1887,"Harry","Gardner","Harry Ray",180,74,"R","R"
1964,"Jeff","Gardner","Jeffrey Scott",165,71,"L","R"
1895,"Jelly","Gardner","Floyd",160,67,"L","R"
1873,"Jim","Gardner","James Andrew",NA,NA,NA,"R"
1886,"Larry","Gardner","William Lawrence",165,68,"L","R"
1975,"Lee","Gardner","Terrence Lee",219,72,"R","R"
1962,"Mark","Gardner","Mark Allan",190,73,"R","R"
1901,"Ray","Gardner","Raymond Vincent",145,68,"R","R"
1944,"Rob","Gardner","Richard Frank",176,73,"R","L"
1961,"Wes","Gardner","Wesley Brian",197,76,"R","R"
1867,"Bill","Garfield","William Milton",160,71,"R","R"
1907,"Art","Garibaldi","Arthur Edward",165,68,"R","R"
1942,"Bob","Garibaldi","Robert Roy",210,76,"L","R"
1973,"Daniel","Garibay","Daniel",154,68,"L","L"
1981,"Ryan","Garko","Ryan Francis",225,74,"R","R"
1979,"Jon","Garland","Jon Steven",210,78,"R","R"
1905,"Lou","Garland","Louis Lyman",200,74,"R","R"
1950,"Wayne","Garland","Marcus Wayne",195,72,"R","R"
1992,"Kyle","Garlick","Kyle Bruce",210,73,"R","R"
1949,"Mike","Garman","Michael Douglas",195,75,"R","R"
1907,"Debs","Garms","Debs C.",165,68,"L","R"
1987,"Dustin","Garneau","Dustin Thomas",205,74,"R","R"
1984,"Cole","Garner","Robert Cole",215,74,"R","R"
1988,"Perci","Garner","Percival",225,75,"R","R"
1949,"Phil","Garner","Philip Mason",175,70,"R","R"
1877,"Willie","Garoni","William",165,73,"R","R"
1945,"Ralph","Garr","Ralph Allen",185,71,"L","R"
1961,"Scott","Garrelts","Scott William",195,76,"R","R"
1943,"Adrian","Garrett","Henry Adrian",185,75,"L","R"
1992,"Amir","Garrett","Amir Jamal",239,77,"R","L"
1997,"Braxton","Garrett","Braxton Lee",202,74,"R","L"
1891,"Clarence","Garrett","Clarence Raymond",185,77,"R","R"
1947,"Greg","Garrett","Gregory",200,72,"B","L"
1993,"Reed","Garrett","Reed",196,74,"R","R"
1995,"Stone","Garrett","Gregory Stone",195,74,"R","R"
1947,"Wayne","Garrett","Ronald Wayne",175,71,"L","R"
1941,"Gil","Garrido","Gil Gonzalo",150,69,"R","R"
1916,"Cecil","Garriott","Virgil Cecil",165,68,"L","R"
1906,"Cliff","Garrison","Clifford William",180,72,"R","R"
1915,"Ford","Garrison","Robert Ford",180,70,"R","R"
1986,"Steve","Garrison","Stevenson Nathaniel",195,73,"B","L"
1965,"Webster","Garrison","Webster Leotis",170,71,"R","R"
1908,"Hank","Garrity","Francis Joseph",185,73,"R","R"
1869,"Jim","Garry","James Thomas",165,70,"L","L"
1989,"Ryan","Garton","Ryan Patrick",190,70,"R","R"
1991,"Mitch","Garver","Mitchell Lyn",220,73,"R","R"
1925,"Ned","Garver","Ned Franklin",180,70,"R","R"
1948,"Steve","Garvey","Steven Patrick",192,70,"R","R"
1955,"Jerry","Garvin","Theodore Jared",195,75,"L","L"
1874,"Ned","Garvin","Virgil Lee",160,75,"R","R"
1994,"Justin","Garza","Justin Charles",170,70,"R","R"
1983,"Matt","Garza","Matthew Scott",220,76,"R","R"
1994,"Ralph","Garza","Ralph Albert",220,74,"R","R"
1883,"Harry","Gaspar","Harry Lambert",180,72,"R","R"
1946,"Rod","Gaspar","Rodney Earl",165,71,"B","L"
1995,"Mickey","Gasper","Michael",205,70,"B","R"
1918,"Charlie","Gassaway","Charles Cason",210,74,"L","L"
1999,"Robert","Gasser","Robert Riordan",192,72,"L","L"
1978,"Dave","Gassner","David Kenneth",190,74,"R","L"
1989,"John","Gast","John Walter",190,74,"L","L"
1932,"Tom","Gastall","Thomas Everett",187,74,"R","R"
1865,"Ed","Gastfield","Edward",155,69,"R",NA
1893,"Alex","Gaston","Alexander Nathaniel",170,69,"R","R"
1944,"Cito","Gaston","Clarence Edwin",190,75,"R","R"
1896,"Milt","Gaston","Nathaniel Milton",185,73,"R","R"
1874,"Welcome","Gaston","Welcome Thornburg",NA,NA,NA,"L"
1865,"Hank","Gastright","Henry Carl",190,74,"R","R"
1970,"Brent","Gates","Brent Robert",180,73,"B","R"
1954,"Joe","Gates","Joseph Daniel",175,67,"L","R"
1956,"Mike","Gates","Michael Grant",165,72,"L","R"
1938,"Aubrey","Gatewood","Aubrey Lee",170,73,"R","R"
1981,"Joey","Gathright","Joey Renard",175,70,"L","R"
1871,"Frank","Gatins","Frank Anthony",160,71,NA,NA
1986,"Evan","Gattis","James Evan",270,76,"R","R"
1985,"John","Gaub","John David",210,74,"R","L"
1955,"Jim","Gaudet","James Jennings",185,72,"R","R"
1983,"Chad","Gaudin","Chad Edward",190,70,"R","R"
1869,"Mike","Gaule","Michael John",NA,74,"L","L"
1991,"Kevin","Gausman","Kevin John",205,74,"L","R"
1901,"Doc","Gautreau","Walter Paul",129,64,"R","R"
1912,"Sid","Gautreaux","Sidney Allen",190,68,"B","R"
1990,"Sam","Gaviglio","Samuel Joseph",215,73,"R","R"
1892,"George","Gaw","George Joseph",180,71,"R","R"
1895,"Mike","Gazella","Michael",165,67,"R","R"
1872,"Dale","Gear","Dale Dudley",165,71,"R","R"
1923,"Lloyd","Gearhart","Lloyd William",180,71,"R","L"
1897,"Dinty","Gearin","Dennis John",148,64,"L","L"
1986,"Cory","Gearrin","Cory Nathanial",205,73,"R","R"
1891,"Bob","Geary","Robert Norton",168,71,"R","R"
1976,"Geoff","Geary","Geoffrey Michael",180,72,"R","R"
1917,"Huck","Geary","Eugene Francis Joseph",170,70,"L","R"
1943,"Bob","Gebhard","Robert Henry",210,74,"R","R"
1923,"Pete","Gebrian","Peter",170,72,"R","R"
1949,"Jim","Geddes","James Lee",200,74,"R","R"
1917,"Elmer","Gedeon","Elmer John",196,76,"R","R"
